"Color Name","Description","Time Stamp","L","A","B","L","C","H","X","Y","Z","R","G","B","HEX","C","M","Y","K","ACES-R","ACES-G","ACES-B","ACEScg-R","ACEScg-G","ACEScg-B","Lin.sRGB-R","Lin.sRGB-G","Lin.sRGB-B",xx
"R:179 G:155 B:173","","2025-10-22 19:00:05","66.55","12.31","-6.23","66.55","13.80","333.14","37.93","36.03","44.62","179","155","173","#B39BAD","31%","39%","20%","0%","0.3986","0.3472","0.4096","0.4084","0.3370","0.4099","0.4527","0.3269","0.4193",
"R:166 G:158 B:66","","2025-10-22 19:00:23","64.06","-8.73","47.92","64.06","48.71","100.32","28.94","32.88","9.96","166","158","66","#A69E42","37%","29%","92%","4%","0.3083","0.3166","0.0920","0.3528","0.3396","0.0925","0.3827","0.3405","0.0544",
"R:151 G:134 B:32","","2025-10-22 19:00:41","55.73","-4.50","53.08","55.73","53.27","94.84","21.50","23.64","4.79","151","134","32","#978620","41%","38%","100%","10%","0.2294","0.2220","0.0444","0.2710","0.2392","0.0448","0.3096","0.2371","0.0143",
"R:198 G:163 B:109","","2025-10-22 19:00:52","68.97","5.46","32.86","68.97","33.31","80.56","39.05","39.30","19.97","198","163","109","#C6A36D","23%","34%","65%","1%","0.4146","0.3638","0.1838","0.4762","0.3778","0.1846","0.5617","0.3670","0.1527",
"R:171 G:97 B:37","","2025-10-22 19:01:17","48.60","25.66","45.28","48.60","52.04","60.46","21.38","17.27","3.93","171","97","37","#AB6125","26%","67%","100%","14%","0.2279","0.1347","0.0362","0.2911","0.1373","0.0372","0.4079","0.1184","0.0182",
"R:193 G:161 B:80","","2025-10-22 19:01:24","67.51","2.31","46.00","67.51","46.06","87.12","36.16","37.32","12.81","193","161","80","#C1A150","25%","33%","82%","2%","0.3849","0.3444","0.1181","0.4518","0.3638","0.1190","0.5342","0.3549","0.0794",
"R:176 G:89 B:56","","2025-10-22 19:01:34","47.92","32.54","34.72","47.92","47.58","46.86","22.23","16.74","5.86","176","89","56","#B05938","23%","73%","86%","12%","0.2366","0.1249","0.0538","0.3023","0.1235","0.0549","0.4340","0.1009","0.0402",
"R:150 G:35 B:59","","2025-10-22 19:01:46","34.05","48.51","15.16","34.05","50.83","17.36","14.03","8.03","4.90","150","35","59","#96233B","28%","97%","71%","23%","0.1489","0.0453","0.0449","0.1958","0.0374","0.0457","0.3067","0.0167","0.0432",
"R:109 G:56 B:60","","2025-10-22 19:01:52","30.44","23.79","8.33","30.44","25.21","19.30","8.54","6.42","5.02","109","56","60","#6D383C","41%","78%","63%","40%","0.0904","0.0503","0.0461","0.1095","0.0477","0.0464","0.1531","0.0397","0.0448",
"R:125 G:70 B:69","","2025-10-22 19:01:59","36.37","23.50","10.68","36.37","25.81","24.45","11.77","9.20","6.87","125","70","69","#7D4645","38%","74%","63%","30%","0.1247","0.0742","0.0630","0.1498","0.0715","0.0635","0.2057","0.0614","0.0604",
"R:160 G:46 B:63","","2025-10-22 19:02:08","37.54","47.59","17.45","37.54","50.69","20.14","16.40","9.83","5.71","160","46","63","#A02E3F","26%","93%","71%","18%","0.1741","0.0590","0.0523","0.2276","0.0509","0.0533","0.3519","0.0279","0.0494",
"R:147 G:42 B:65","","2025-10-22 19:02:14","34.47","45.57","11.51","34.47","47.00","14.17","13.85","8.24","5.86","147","42","65","#932A41","30%","94%","65%","23%","0.1469","0.0499","0.0537","0.1899","0.0421","0.0545","0.2931","0.0227","0.0529",
"R:165 G:66 B:81","","2025-10-22 19:02:19","41.98","42.60","11.98","41.98","44.25","15.71","19.03","12.49","9.27","165","66","81","#A54251","28%","86%","58%","13%","0.2017","0.0857","0.0850","0.2543","0.0769","0.0860","0.3786","0.0537","0.0831",
"R:106 G:54 B:60","","2025-10-22 19:02:26","29.46","24.13","6.75","29.46","25.05","15.63","8.10","6.02","5.00","106","54","60","#6A363C","42%","80%","62%","41%","0.0858","0.0470","0.0459","0.1035","0.0442","0.0462","0.1452","0.0364","0.0451",
"R:127 G:134 B:53","","2025-10-22 19:02:32","53.68","-14.20","41.68","53.68","44.04","108.81","17.81","21.67","6.57","127","134","53","#7F8635","52%","33%","100%","12%","0.1898","0.2149","0.0607","0.2116","0.2322","0.0609","0.2113","0.2367","0.0352",
"R:104 G:76 B:66","","2025-10-22 19:02:41","34.86","10.37","10.45","34.86","14.72","45.23","9.20","8.43","6.27","104","76","66","#684C42","48%","63%","66%","37%","0.0974","0.0758","0.0576","0.1111","0.0759","0.0579","0.1374","0.0715","0.0542",
"R:77 G:94 B:61","","2025-10-22 19:02:47","37.79","-13.54","16.77","37.79","21.55","128.90","7.91","9.97","5.97","77","94","61","#4D5E3D","67%","43%","81%","33%","0.0839","0.1030","0.0550","0.0855","0.1092","0.0549","0.0734","0.1129","0.0472",
"R:177 G:124 B:96","","2025-10-22 19:02:53","56.57","17.23","23.53","56.57","29.16","53.79","27.34","24.49","14.27","177","124","96","#B17C60","28%","53%","64%","7%","0.2900","0.2136","0.1312","0.3422","0.2159","0.1320","0.4383","0.2004","0.1161",
"R:199 G:166 B:101","","2025-10-22 19:03:01","69.71","3.69","38.15","69.71","38.33","84.48","39.50","40.34","17.93","199","166","101","#C7A665","23%","32%","71%","1%","0.4198","0.3739","0.1651","0.4854","0.3912","0.1660","0.5705","0.3813","0.1292",
"R:107 G:120 B:69","","2025-10-22 19:03:07","48.34","-13.89","26.43","48.34","29.86","117.73","13.90","17.07","8.21","107","120","69","#6B7845","58%","37%","84%","18%","0.1476","0.1726","0.0757","0.1572","0.1842","0.0757","0.1472","0.1888","0.0597",
"R:87 G:108 B:57","","2025-10-22 19:03:14","42.89","-17.16","26.06","42.89","31.21","123.36","10.08","13.09","5.85","87","108","57","#576C39","65%","39%","91%","25%","0.1071","0.1348","0.0540","0.1120","0.1450","0.0539","0.0964","0.1502","0.0408",
"R:86 G:90 B:62","","2025-10-22 19:03:20","37.33","-7.02","16.13","37.33","17.59","113.51","8.42","9.72","5.93","86","90","62","#565A3E","60%","47%","78%","35%","0.0892","0.0970","0.0546","0.0948","0.1018","0.0546","0.0938","0.1032","0.0476",
"R:73 G:54 B:64","","2025-10-22 19:03:26","25.14","10.26","-2.51","25.14","10.56","346.27","5.02","4.46","5.39","73","54","64","#493640","62%","71%","54%","48%","0.0528","0.0413","0.0495","0.0562","0.0396","0.0495","0.0672","0.0373","0.0507",
"R:145 G:122 B:110","","2025-10-22 19:03:32","53.09","6.98","10.08","53.09","12.26","55.33","21.53","21.13","17.65","145","122","110","#917A6E","42%","48%","53%","10%","0.2275","0.1993","0.1621","0.2483","0.2009","0.1625","0.2849","0.1951","0.1554",
"R:122 G:61 B:62","","2025-10-22 19:03:38","33.63","26.47","11.36","33.63","28.80","23.22","10.56","7.83","5.56","122","61","62","#7A3D3E","37%","78%","65%","34%","0.1119","0.0603","0.0510","0.1373","0.0572","0.0515","0.1942","0.0468","0.0487",
"R:146 G:109 B:107","","2025-10-22 19:03:44","49.63","14.38","6.87","49.63","15.94","25.53","19.97","18.11","16.34","146","109","107","#926D6B","40%","57%","50%","12%","0.2110","0.1644","0.1501","0.2351","0.1623","0.1505","0.2874","0.1529","0.1469",
"R:115 G:56 B:67","","2025-10-22 19:03:50","31.60","26.80","5.16","31.60","27.29","10.89","9.49","6.91","6.19","115","56","67","#733843","41%","80%","58%","35%","0.1004","0.0535","0.0568","0.1209","0.0496","0.0572","0.1705","0.0402","0.0567",
